link,title,company,reward
"Junior Software Engineer, Backend (SaaS)",어니스트에이아이,경력 3-6년,합격보상금 100만원
시니어 백엔드 개발자,레디포스트,경력 7-20년,합격보상금 100만원
프론트엔드 개발자,세이지,경력 4-7년,합격보상금 100만원
백엔드 개발자,스마트푸드네트웍스,경력 5년 이상,합격보상금 100만원
Backend Engineer,에이치티비욘드,경력 4년 이상,합격보상금 100만원
프론트엔드 개발자,아이트럭,경력 5-7년,합격보상금 100만원
Backend Engineer(Backend 리더 / 12년 이상),비에이치에스엔,경력 12년 이상,합격보상금 100만원
[굿뉴스에너지] Backend Engineer (Java),식스티헤르츠,경력 6년 이상,합격보상금 100만원
"Junior Software Engineer, Backend (SaaS)",어니스트에이아이,경력 3-6년,합격보상금 100만원
시니어 백엔드 개발자,레디포스트,경력 7-20년,합격보상금 100만원
프론트엔드 개발자,세이지,경력 4-7년,합격보상금 100만원
백엔드 개발자,스마트푸드네트웍스,경력 5년 이상,합격보상금 100만원
Backend Engineer,에이치티비욘드,경력 4년 이상,합격보상금 100만원
프론트엔드 개발자,아이트럭,경력 5-7년,합격보상금 100만원
Backend Engineer(Backend 리더 / 12년 이상),비에이치에스엔,경력 12년 이상,합격보상금 100만원
[굿뉴스에너지] Backend Engineer (Java),식스티헤르츠,경력 6년 이상,합격보상금 100만원
Java/Kotlin 백엔드 개발자(7년 이상),디하이소프트,경력 7-14년,합격보상금 100만원
[Enterprise Solution] Backend Engineer(5년 이상),비에이치에스엔,경력 5년 이상,합격보상금 100만원
개발팀 Tech Innovation 워킹그룹 풀스택 개발자 (8년 이상),프리윌린,경력 8년 이상,합격보상금 100만원
백엔드 개발자 (3년 이상),에이엠랩스,경력 3년 이상,합격보상금 100만원
[미리디] 시니어 데이터 엔지니어,미리디,경력 5-10년,합격보상금 100만원
[고속성장 헬스케어] Global Sales Manager (해외영업),아크리얼,경력 5-15년,합격보상금 100만원
"Software Engineer, Backend - Security Platform",놀유니버스,경력 5년 이상,합격보상금 100만원
MLOps 엔지니어,카카오모빌리티(kakaomobility),경력 5년 이상,합격보상금 100만원
Microservices Backend Engineer (Rust),아키스케치,경력 3-10년,합격보상금 100만원
Sr. Backend Engineer,에이아이트릭스(AITRICS),경력 5-10년,합격보상금 100만원
블록체인 서비스 백엔드 개발자,람다256,경력 5-10년,합격보상금 100만원
[Tech] Server(배민공통서비스),우아한형제들(배달의민족),경력 7년 이상,합격보상금 100만원
안드로이드 개발자,알앤원(RN1),경력 4-8년,합격보상금 100만원
클라우드 인프라 엔지니어(DevOps),아키스케치,경력 3-10년,합격보상금 100만원
안드로이드개발자,도스모랩,경력 10-13년 · 계약직,합격보상금 20만원
Back-end Engineer,그립랩스,경력 3-10년,합격보상금 100만원
Backend Engineer (29CM/커머스코어),무신사,경력 8년 이상,합격보상금 100만원
WTS 서버개발자(시니어),카카오페이증권(kakaopay증권),경력 6년 이상,합격보상금 100만원
Backend Engineer (29CM/커스터머인게이지먼트),무신사,경력 7년 이상,합격보상금 100만원
Payment Backend Engineer (Python),앤서스랩코리아,경력 5년 이상,합격보상금 100만원
데이터 엔지니어,위버스컴퍼니(WEVERSE COMPANY),경력 3년,합격보상금 100만원
시니어 백엔드 개발자,핀다(FINDA),경력 8-12년,합격보상금 100만원
Java 백엔드 리드 개발자 (5~10년),후플렉스,경력 5-10년,합격보상금 100만원
데이터 엔지니어,핵클(Hackle),경력 5-20년,합격보상금 100만원
IVI OS Engineer (Vehicle Service),포티투닷(42dot),경력 5년 이상,합격보상금 100만원
"Senior ML Software Engineer (추천, 모더레이션)",하이퍼커넥트,경력 5-20년,합격보상금 100만원
Fullstack Engineer (10년 이상),리얼드로우,경력 10-15년,합격보상금 100만원
서버 테크 리드 (Server Tech Lead),뱅크샐러드,경력 5-10년,합격보상금 100만원
프론트엔드 개발자,페이블랩,경력 5년 이상,합격보상금 100만원
[병역특례 현역/보충역] 안드로이드앱(Kotlin) 개발자,넛지헬스케어(캐시워크),신입,합격보상금 100만원
Android Engineer (Services),포티투닷(42dot),경력 7년 이상,합격보상금 100만원
웹 서비스 개발자,원스토어,경력 5-15년,합격보상금 100만원
백엔드 개발자 (3~7년차),스튜디오랩(STUDIO LAB),경력 3년 이상,합격보상금 100만원
Backend 개발자,티비유,경력 1년 이상,합격보상금 100만원
Kotlin Backend Engineer,엔라이즈(NRISE),경력 3년 이상,합격보상금 100만원
"Backend Engineer (Nodejs, Java, Kotlin)",오누이(설탭),경력 4-7년,합격보상금 100만원
Java 백엔드 개발자 (3~5년),후플렉스,경력 3-5년,합격보상금 100만원
Backend (Kotlin /Spring) Engineer,코인원(coinone),경력 7년 이상,합격보상금 100만원
[글로벌 앱 플랫폼] 유틸리티 앱 Back-end 개발자 (3년 이상),티니어,경력 3년 이상,합격보상금 100만원
[개발팀] 시니어 백엔드 개발자,증권플러스비상장,경력 8년 이상,합격보상금 100만원
Software Engineer(Backend),레브잇,경력 2년 이상,합격보상금 100만원
[글로벌 앱 플랫폼] 날씨 앱 Back-end 개발자 (3년 이상),티니어,경력 3년 이상,합격보상금 100만원
안드로이드 앱 개발자,아치서울,경력 3-6년,합격보상금 100만원
백엔드 개발자(Back-end Engineer),닥터나우,경력 2년 이상,합격보상금 100만원
Backend Engineer(3년 이상),더스퀘어이엔엠,경력 2-4년,합격보상금 100만원
[다글로] 안드로이드 개발자,액션파워,신입-경력 3년,합격보상금 100만원
커뮤니티 서버 개발,오렌지스퀘어,경력 4-10년,합격보상금 100만원
Back-end Engineer(Core Banking),피에프씨테크놀로지스,경력 3년 이상,합격보상금 100만원
백엔드 개발자 (7년 이상),아정네트웍스,경력 7년 이상,합격보상금 100만원
안드로이드(Android) 개발자,와이어바알리(wirebarley),신입-경력 6년,합격보상금 100만원
[다나와개발본부] Backend Engineer (4년 이하),커넥트웨이브,신입-경력 4년,합격보상금 100만원
[인턴] 백엔드 개발자,디써클,신입 · 인턴,합격보상금 100만원
소프트웨어 엔지니어 (1년 이상),그래비티랩스,경력 1년 이상,합격보상금 100만원
AI서비스 백엔드 개발자(주니어),스콘에이아이(SconAI),경력 1-4년 · 계약직,합격보상금 20만원
Backend 개발자,콘텐츠웨이브(wavve),경력 5-12년,합격보상금 100만원
Backend Engineer (Java/Kotlin),센트비(Sentbe),경력 4년 이상,합격보상금 100만원
시니어 백엔드 개발자,스마트푸드네트웍스,경력 9년 이상,합격보상금 100만원
코어플랫폼유닛 Back-end 개발자,씨제이올리브영(CJ올리브영),경력 4년 이상,합격보상금 100만원
Android or Flutter 앱 개발자,룰루랩(lululab),경력 5년 이상,합격보상금 100만원
Senior Android Engineer (Coupang Eats),쿠팡,경력 5-9년,합격보상금 100만원
POS 안드로이드 개발자,페이앤스토어,경력 3-10년,합격보상금 100만원
"Software Engineer, Backend",아키스케치,경력 2-10년,합격보상금 100만원
"Software Engineer, Backend - 다이나믹 패키지",놀유니버스,경력 3-15년,합격보상금 100만원
